Fname,Lname,City,Email,Password,ConfirmPassword
Anne,Smith,New York,anne.smith@stonybrook.edu,strawberries,strawberries
Anita,Singh,London,anita.singh@stonybrook.edu,strawberries,strawberries
Carly,Zhang,Dallas,carly.zhang@stonybrook.edu,strawberries,strawberries
Dani,Lee,Rome,danilee.rome@stonybrook.edu,strawberries,strawberries
Lee,Smith,Stony Brook,lee.smith@stonybrook.edu,strawberries,strawberries
Anna,Garcia,Portland,anna.garcia@stonybrook.edu,strawberries,strawberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
anne,park,Rego Park,kailey.park@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,rego park,kailey.van@stonybrook.edu,blueberrues,blueberries
kailey,van,rego park,kailey.van@stonybrook.edu,blueberrues,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,rego park,kailey.van@stonybrook.edu,blueberries,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberrues,blueberries
kailey,van,Rego Park,kailey.van@stonybrook.edu,blueberries,blueberries
